实现,规模,模数,线程数,平均时间(秒),标准差,最小时间,最大时间,结果验证
ntt_serial,1000,7340033,1,0.004369,0.000083,0.004279,0.004479,PASS_REF_SELF_SKIP
ntt_pthread,1000,7340033,1,0.007496,0.001197,0.006465,0.009175,PASS
ntt_pthread,1000,7340033,2,0.008346,0.000301,0.008037,0.008753,PASS
ntt_pthread,1000,7340033,4,0.009027,0.000825,0.008081,0.010091,PASS
ntt_pthread,1000,7340033,8,0.017511,0.003916,0.012516,0.022079,PASS
ntt_pthread_optimized,1000,7340033,1,0.006423,0.000292,0.006077,0.006792,PASS
ntt_pthread_optimized,1000,7340033,2,0.006353,0.000537,0.005602,0.006828,PASS
ntt_pthread_optimized,1000,7340033,4,0.006730,0.000721,0.005716,0.007332,PASS
ntt_pthread_optimized,1000,7340033,8,0.008167,0.000420,0.007821,0.008758,PASS
ntt_openmp,1000,7340033,1,0.005422,0.000334,0.005085,0.005877,PASS
ntt_openmp,1000,7340033,2,0.005532,0.000187,0.005385,0.005796,PASS
ntt_openmp,1000,7340033,4,0.005635,0.000150,0.005437,0.005799,PASS
ntt_openmp,1000,7340033,8,0.023207,0.000392,0.022708,0.023666,PASS
ntt_crt_arbitrary_serial,1000,7340033,1,0.008104,0.000207,0.007922,0.008394,PASS
ntt_crt_arbitrary_pthread,1000,7340033,1,0.007558,0.000270,0.007302,0.007932,PASS
ntt_crt_arbitrary_pthread,1000,7340033,2,0.007285,0.000281,0.006992,0.007664,PASS
ntt_crt_arbitrary_pthread,1000,7340033,4,0.007343,0.000217,0.007045,0.007558,PASS
ntt_crt_arbitrary_pthread,1000,7340033,8,0.008163,0.000113,0.008072,0.008323,PASS
ntt_crt_arbitrary_openmp,1000,7340033,1,0.008286,0.000043,0.008255,0.008346,PASS
ntt_crt_arbitrary_openmp,1000,7340033,2,0.007367,0.000011,0.007353,0.007380,PASS
ntt_crt_arbitrary_openmp,1000,7340033,4,0.007016,0.000156,0.006801,0.007169,PASS
ntt_crt_arbitrary_openmp,1000,7340033,8,0.009042,0.000337,0.008571,0.009342,PASS
ntt_serial,1000,104857601,1,0.005117,0.000062,0.005066,0.005205,PASS_REF_SELF_SKIP
ntt_pthread,1000,104857601,1,0.009335,0.000383,0.008835,0.009765,PASS
ntt_pthread,1000,104857601,2,0.009072,0.000231,0.008905,0.009399,PASS
ntt_pthread,1000,104857601,4,0.012528,0.000563,0.011980,0.013303,PASS
ntt_pthread,1000,104857601,8,0.019505,0.003104,0.016046,0.023575,PASS
ntt_pthread_optimized,1000,104857601,1,0.006774,0.000081,0.006662,0.006851,PASS
ntt_pthread_optimized,1000,104857601,2,0.006978,0.000558,0.006233,0.007575,PASS
ntt_pthread_optimized,1000,104857601,4,0.007558,0.000678,0.006661,0.008300,PASS
ntt_pthread_optimized,1000,104857601,8,0.008487,0.000566,0.007839,0.009217,PASS
ntt_openmp,1000,104857601,1,0.006597,0.000370,0.006126,0.007029,PASS
ntt_openmp,1000,104857601,2,0.005547,0.000455,0.004924,0.005996,PASS
ntt_openmp,1000,104857601,4,0.006007,0.000354,0.005654,0.006491,PASS
ntt_openmp,1000,104857601,8,0.023846,0.000459,0.023348,0.024455,PASS
ntt_crt_arbitrary_serial,1000,104857601,1,0.009251,0.000182,0.008993,0.009392,PASS
ntt_crt_arbitrary_pthread,1000,104857601,1,0.008239,0.000316,0.008007,0.008686,PASS
ntt_crt_arbitrary_pthread,1000,104857601,2,0.007617,0.000362,0.007173,0.008059,PASS
ntt_crt_arbitrary_pthread,1000,104857601,4,0.007377,0.000271,0.007064,0.007725,PASS
ntt_crt_arbitrary_pthread,1000,104857601,8,0.008738,0.000128,0.008604,0.008910,PASS
ntt_crt_arbitrary_openmp,1000,104857601,1,0.009335,0.000216,0.009089,0.009615,PASS
ntt_crt_arbitrary_openmp,1000,104857601,2,0.007829,0.000336,0.007415,0.008239,PASS
ntt_crt_arbitrary_openmp,1000,104857601,4,0.007570,0.000572,0.007013,0.008357,PASS
ntt_crt_arbitrary_openmp,1000,104857601,8,0.009347,0.000649,0.008804,0.010259,PASS
ntt_serial,1000,469762049,1,0.004703,0.000056,0.004629,0.004764,PASS_REF_SELF_SKIP
ntt_pthread,1000,469762049,1,0.009607,0.000232,0.009351,0.009913,PASS
ntt_pthread,1000,469762049,2,0.008808,0.000190,0.008634,0.009073,PASS
ntt_pthread,1000,469762049,4,0.010852,0.000465,0.010518,0.011510,PASS
ntt_pthread,1000,469762049,8,0.020003,0.002195,0.016965,0.022076,PASS
ntt_pthread_optimized,1000,469762049,1,0.008329,0.001666,0.006952,0.010673,PASS
ntt_pthread_optimized,1000,469762049,2,0.008344,0.000832,0.007754,0.009520,PASS
ntt_pthread_optimized,1000,469762049,4,0.007142,0.000311,0.006739,0.007496,PASS
ntt_pthread_optimized,1000,469762049,8,0.007102,0.000407,0.006609,0.007606,PASS
ntt_openmp,1000,469762049,1,0.005157,0.000194,0.004916,0.005392,PASS
ntt_openmp,1000,469762049,2,0.005597,0.000352,0.005167,0.006030,PASS
ntt_openmp,1000,469762049,4,0.006468,0.000489,0.005913,0.007103,PASS
ntt_openmp,1000,469762049,8,0.011469,0.008051,0.005669,0.022855,PASS
ntt_crt_arbitrary_serial,1000,469762049,1,0.008143,0.000055,0.008066,0.008184,PASS
ntt_crt_arbitrary_pthread,1000,469762049,1,0.008091,0.000677,0.007270,0.008929,PASS
ntt_crt_arbitrary_pthread,1000,469762049,2,0.007137,0.000205,0.006966,0.007426,PASS
ntt_crt_arbitrary_pthread,1000,469762049,4,0.007745,0.000410,0.007355,0.008311,PASS
ntt_crt_arbitrary_pthread,1000,469762049,8,0.006983,0.000687,0.006340,0.007936,PASS
ntt_crt_arbitrary_openmp,1000,469762049,1,0.008648,0.000076,0.008543,0.008719,PASS
ntt_crt_arbitrary_openmp,1000,469762049,2,0.007524,0.000056,0.007467,0.007601,PASS
ntt_crt_arbitrary_openmp,1000,469762049,4,0.006742,0.000282,0.006352,0.007009,PASS
ntt_crt_arbitrary_openmp,1000,469762049,8,0.008141,0.001195,0.006547,0.009424,PASS
ntt_serial,1000,1337006139375617,1,0.004983,0.000282,0.004608,0.005287,PASS_REF_SELF_SKIP
ntt_pthread,1000,1337006139375617,1,0.009625,0.001262,0.007919,0.010932,PASS
ntt_pthread,1000,1337006139375617,2,0.009381,0.000500,0.008684,0.009833,PASS
ntt_pthread,1000,1337006139375617,4,0.011136,0.000852,0.010244,0.012284,PASS
ntt_pthread,1000,1337006139375617,8,0.013120,0.001407,0.011803,0.015070,PASS
ntt_pthread_optimized,1000,1337006139375617,1,0.005462,0.000086,0.005351,0.005559,PASS
ntt_pthread_optimized,1000,1337006139375617,2,0.006241,0.000748,0.005456,0.007248,PASS
ntt_pthread_optimized,1000,1337006139375617,4,0.006002,0.000097,0.005893,0.006129,PASS
ntt_pthread_optimized,1000,1337006139375617,8,0.007114,0.000475,0.006495,0.007648,PASS
ntt_openmp,1000,1337006139375617,1,0.005313,0.000213,0.005151,0.005613,PASS
ntt_openmp,1000,1337006139375617,2,0.005366,0.000063,0.005298,0.005449,PASS
ntt_openmp,1000,1337006139375617,4,0.006195,0.000566,0.005601,0.006956,PASS
ntt_openmp,1000,1337006139375617,8,0.023421,0.001088,0.021989,0.024626,PASS
ntt_crt_arbitrary_serial,1000,1337006139375617,1,0.008385,0.000070,0.008287,0.008445,PASS
ntt_crt_arbitrary_pthread,1000,1337006139375617,1,0.007742,0.000109,0.007590,0.007838,PASS
ntt_crt_arbitrary_pthread,1000,1337006139375617,2,0.006935,0.000106,0.006841,0.007084,PASS
ntt_crt_arbitrary_pthread,1000,1337006139375617,4,0.006697,0.000087,0.006619,0.006818,PASS
ntt_crt_arbitrary_pthread,1000,1337006139375617,8,0.007822,0.000555,0.007047,0.008316,PASS
ntt_crt_arbitrary_openmp,1000,1337006139375617,1,0.008405,0.000035,0.008358,0.008442,PASS
ntt_crt_arbitrary_openmp,1000,1337006139375617,2,0.008656,0.000436,0.008285,0.009267,PASS
ntt_crt_arbitrary_openmp,1000,1337006139375617,4,0.006946,0.000102,0.006827,0.007076,PASS
