实现,规模,模数,线程数,平均时间(秒),标准差,最小时间,最大时间,结果验证
ntt_serial,1000,7340033,1,0.023228,0.004622,0.019842,0.029764,PASS_REF_SELF_SKIP
ntt_pthread,1000,7340033,1,0.042782,0.001858,0.040409,0.044947,PASS
ntt_pthread,1000,7340033,2,0.035139,0.005906,0.026943,0.040633,PASS
ntt_pthread,1000,7340033,4,0.029359,0.006054,0.020982,0.035078,PASS
ntt_pthread,1000,7340033,8,0.058559,0.003132,0.054131,0.060872,PASS
ntt_pthread_optimized,1000,7340033,1,0.039981,0.005118,0.036273,0.047218,PASS
ntt_pthread_optimized,1000,7340033,2,0.029026,0.006088,0.020517,0.034415,PASS
ntt_pthread_optimized,1000,7340033,4,0.038985,0.001525,0.037020,0.040738,PASS
ntt_pthread_optimized,1000,7340033,8,0.026333,0.003685,0.021211,0.029729,PASS
ntt_openmp,1000,7340033,1,0.022405,0.009088,0.013973,0.035022,PASS
ntt_openmp,1000,7340033,2,0.030823,0.002047,0.028011,0.032824,PASS
ntt_openmp,1000,7340033,4,0.029219,0.004333,0.025476,0.035292,PASS
ntt_openmp,1000,7340033,8,0.036940,0.004292,0.033214,0.042952,PASS
ntt_crt_arbitrary_serial,1000,7340033,1,0.039967,0.006985,0.030257,0.046394,PASS
ntt_crt_arbitrary_pthread,1000,7340033,1,0.031836,0.004279,0.026233,0.036618,PASS
ntt_crt_arbitrary_pthread,1000,7340033,2,0.030727,0.010748,0.015903,0.041048,PASS
ntt_crt_arbitrary_pthread,1000,7340033,4,0.027819,0.005337,0.021258,0.034330,PASS
ntt_crt_arbitrary_pthread,1000,7340033,8,0.032247,0.003674,0.027537,0.036501,PASS
ntt_crt_arbitrary_openmp,1000,7340033,1,0.028745,0.003878,0.025687,0.034217,PASS
ntt_crt_arbitrary_openmp,1000,7340033,2,0.041010,0.003130,0.036617,0.043680,PASS
ntt_crt_arbitrary_openmp,1000,7340033,4,0.037054,0.004255,0.033380,0.043018,PASS
ntt_crt_arbitrary_openmp,1000,7340033,8,0.030836,0.005408,0.024630,0.037810,PASS
ntt_serial,1000,104857601,1,0.019249,0.002164,0.017683,0.022309,PASS_REF_SELF_SKIP
ntt_pthread,1000,104857601,1,0.028319,0.005786,0.022652,0.036265,PASS
ntt_pthread,1000,104857601,2,0.019240,0.001984,0.016877,0.021731,PASS
ntt_pthread,1000,104857601,4,0.025339,0.001298,0.023721,0.026898,PASS
ntt_pthread,1000,104857601,8,0.027063,0.000960,0.026009,0.028332,PASS
ntt_pthread_optimized,1000,104857601,1,0.020593,0.001931,0.017984,0.022596,PASS
ntt_pthread_optimized,1000,104857601,2,0.019881,0.001549,0.017794,0.021502,PASS
ntt_pthread_optimized,1000,104857601,4,0.021838,0.004502,0.017507,0.028044,PASS
ntt_pthread_optimized,1000,104857601,8,0.028200,0.009147,0.020418,0.041039,PASS
ntt_openmp,1000,104857601,1,0.042870,0.003004,0.038672,0.045535,PASS
ntt_openmp,1000,104857601,2,0.039313,0.004426,0.033967,0.044806,PASS
ntt_openmp,1000,104857601,4,0.042885,0.012383,0.027025,0.057245,PASS
ntt_openmp,1000,104857601,8,0.030220,0.001458,0.028557,0.032107,PASS
ntt_crt_arbitrary_serial,1000,104857601,1,0.059118,0.003829,0.054974,0.064208,PASS
